Symbol,EarningsPerShare,PriceEarningsRatio,DebtEquityRatio,ReturnOnEquity,QuickRatio,WorkingCapitalRatio
BURG,-1.8768,0.0,1.3108,-0.9225,0.0711,0.117
BVSN,-1.4002,0.0,0.0,-4.9964,1.5314,1.9726
BVXV,-0.3356,0.0,-3.0229,2.8104,3.5253,3.5253
BYSI,-2.4353,0.0,-0.0,7.0653,0.3393,0.357
CAAS,0.0751,30.5,0.2142,0.0083,1.0909,1.4516
CANF,-2.9603,0.0,0.0,-2.1794,1.2466,2.5338
CAPR,-4.8897,0.0,0.0,-3.2913,6.1719,6.7489
CARV,1.4486,4.6897,0.8351,0.103,0.2316,0.1085
CATS,-0.8808,0.0,-0.8335,1.5853,0.5878,0.7312
CBAN,1.4112,10.3546,0.7629,0.1245,0.1008,0.0569
CBFV,1.3025,17.4507,0.1453,0.0512,0.0475,0.0513
CBLI,-0.3197,0.0,-0.0,2.4877,4.7953,4.9086
CCCL,-90.5869,0.0,0.1312,-1.5168,2.5829,4.0352
CCM,-1.8055,0.0,2.1446,-0.537,1.1413,1.4119
CCNE,2.2115,10.3846,1.2006,0.1283,0.0263,0.0246
CCR,2.3777,6.895,0.7634,0.2962,0.3736,0.6258
CCUR,1.7388,3.1176,0.0,0.2869,41.6618,43.8875
CDOR,0.4027,17.225,1.2784,0.0501,1.1868,1.6425
CEMI,-0.4576,0.0,0.0114,-0.236,3.0523,4.3642
CFBI,0.0596,195.75,0.0991,0.0059,0.1573,0.185
CFBK,1.0086,11.4608,0.829,0.0938,0.1156,0.1503
CGA,-2.1383,0.0,0.0308,-0.0177,4.2219,4.9048
CHCI,-1.1569,0.0,-0.7074,0.4976,0.3307,0.8949
CHMA,-1.2796,0.0,0.0,-0.9161,1.4553,2.1723
CHNR,-0.2479,0.0,-0.0,0.2833,0.2515,0.2528
CIFS,-0.1727,0.0,0.0,-0.0589,32.5386,32.9862
CINR,2.5254,8.6492,0.6433,0.3242,1.8142,2.1904
CIX,1.2324,11.065,0.0,0.1025,6.6979,5.5809
CIZN,1.3606,15.4412,0.0,0.0796,0.0333,0.0327
CJJD,-0.6766,0.0,1.0168,-0.9044,0.8534,1.137
CKX,0.574,18.0877,0.0,0.0734,25.8009,25.9715
CLBS,-1.6427,0.0,0.0,-0.4285,7.662,7.8494
CLFD,0.3129,41.7188,0.0,0.0621,6.0832,8.25
CLGN,-5.2726,0.0,0.0,-0.9813,2.6216,3.1944
CLRB,-3.2538,0.0,0.0002,-0.9983,8.2057,8.601
CLRO,-2.0089,0.0,0.0,-0.3197,3.1531,5.7199
CNFR,-1.0726,0.0,0.7946,-0.2188,0.5232,0.9161
COCP,-1.6391,0.0,0.0049,-0.7333,1.7932,1.8902
CODA,0.479,12.408,0.083,0.2046,4.2738,5.5912
CODX,-0.4856,0.0,-1.8026,5.9234,0.4097,0.4472
COHN,-2.0263,0.0,1.217,-0.0688,2.3356,1.0147
CPAH,-0.5426,0.0,0.0,-0.3908,1.1751,1.1934
